"scientific_name","nombre_comun_es","number_of_trees"
"Bixa orellana","Achiote, Achote","255"
"Eucalyptus grandis","Eucaliptus grandis","255"
"Coccoloba uvifera","Uva de playa","251"
"Swietenia macrophylla","Caobo","249"
"Phoenix canariensis","Palma Datilera, Palma canaria","244"
"Yucca arborescens","Yuca arborea","242"
"Ficus lyrata","Caucho Lira, Ficus Lira","241"
"Tecoma stans","Chirlobirlo, Floramarillo","239"
"Prunus domestica","Ciruelo","237"
"Wodyetia bifurcata","Palma cola de zorro","236"
"Bunchosia armeniaca","Ciruelo de perro, Ciruelo peruano","235"
"Quararibea cordata","Zapote","233"
"Cnidoscolus aconitifolius","Papayuelo, Paraguas chino","233"
"Bambusa vulgaris","Guadua amarilla, Bambu amarillo, Bambu","229"
"Genipa americana","Jagua","228"
"Cordia sebestena","No me olvides, Nogal, San joaquin","227"
"Dracaena fragrans","Dracaena, Tronco de la felicidad","226"
"Ficus crassinervia","Ficus ovalis, Caucho ovalis","224"
"Persea caerulea","Aguacatillo, Laurel aguacatillo","217"
"Caryota urens","Palma mariposa, Plama vino de la India, Palma cola de pescado","213"
"Archontophoenix cunninghamiana","Palma Payanesa","212"
"Cassia grandis","Canafistulo","207"
"Plinia cauliflora","Jaboticaba, Guabira","203"
"Cinnamomum triplinerve","Laurel blanco, Laurel Jigua, Laurel colorado y amarillo","202"
"Annona cherimola","Chirimoyo","200"
"Senna reticulata","Martin Galviz","199"
"Vitex cymosa","Guayacan azul, Taruma","197"
"Malpighia emarginata","Cerezo, Acerola, Huesito, Semeruco","197"
"Pithecellobium lanceolatum","Chiminango rojo, Espina de mono","196"
"Phyllanthus acidus","Grosello","195"
"Melaleuca quinquenervia","Eucalipto de flor, Corcho","195"
"Myrcia popayanensis","Arrayan","193"
"Machaerium capote","Capote rojo","193"
"Guarea sp","Cedro macho","193"
"Psidium friedrichsthalianum","Guayabo Coronilla, Guayaba agria","190"
"Theobroma cacao","Cacao","189"
"Gardenia grandiflora","Gardenia, Malabar, Jazmin del Cabo","187"
"Achatocarpus nigricans","Totocal, Limonacho","186"
"Syagrus romanzoffiana","Palma de azucar","186"
"Bismarckia nobilis","Palma Bismarckia","183"
"Sterculia apetala","Camajon, Camajon duro, Panama, Suan","181"
"Ixora coccinea","Coral rojo","180"
"Posoqueria longiflora","Jazmin naranjo","179"
"Flacourtia indica","Ciruelo del gobernador, Uva lisa","178"
"Senna mexicana","Acacia china","176"
"Livistona drudei","Latania, Latania borbonica, Palma abanico","176"
